gisjoin,year,state,county,total_pop,urban_pop,rural_farm_pop,black_pop,white_pop,black_farm_val,white_farm_val,black_acres,white_acres,black_num_farms,white_num_farms
G0100010,1930,Alabama,Autauga,19694,0,14356,10907,8787,1763200,3624993,77169,138308,1924,1057
G0100030,1930,Alabama,Baldwin,28289,0,13297,6798,21484,280150,9166620,9661,171198,320,2134
G0100050,1930,Alabama,Barbour,32425,5208,21061,18659,13766,2398743,3058758,155085,162955,2262,1593
G0100070,1930,Alabama,Bibb,20780,0,9896,6876,13904,703095,2268058,24606,117169,668,1282
G0100090,1930,Alabama,Blount,28020,0,22048,1069,26951,105860,7127408,4115,279378,86,4287
G0100110,1930,Alabama,Bullock,20016,2875,14940,15754,4262,1980007,1467691,131304,97795,2473,448
G0100130,1930,Alabama,Butler,30195,3985,18980,14682,15513,1822222,4103678,82713,186866,1695,1906
G0100150,1930,Alabama,Calhoun,55611,28853,17631,12536,43071,633055,6007830,21864,192860,461,2609
G0100170,1930,Alabama,Chambers,39313,5204,21778,17928,21385,2810492,3586308,145408,130054,2431,1692
G0100190,1930,Alabama,Cherokee,20219,0,18225,1831,18388,511077,7443212,15179,236439,274,3239
G0100210,1930,Alabama,Chilton,24579,0,19117,3968,20611,629481,6034505,28250,209353,575,3345
G0100230,1930,Alabama,Choctaw,20513,0,14058,11236,9276,1382777,2418255,79538,166951,1611,1132
G0100250,1930,Alabama,Clarke,26016,0,16771,13625,12390,1452771,2258822,82377,164771,1772,1333
G0100270,1930,Alabama,Clay,17768,0,14852,2727,15041,383554,3838134,19391,194580,359,2673
G0100290,1930,Alabama,Cleburne,12877,0,10410,766,12109,68192,2669831,3315,172588,68,1962
G0100310,1930,Alabama,Coffee,32556,6225,23870,6894,25662,1256612,7853040,43997,291132,732,3442
G0100330,1930,Alabama,Colbert,29860,10754,14851,8482,21377,2752667,6946898,37433,143959,931,1973
G0100350,1930,Alabama,Conecuh,25429,0,18100,11095,14334,1659735,4358482,66149,153583,1476,1997
G0100370,1930,Alabama,Coosa,12460,0,9821,4640,7820,666912,1903360,59560,142164,677,1199
G0100390,1930,Alabama,Covington,41356,10652,23341,7078,34278,797315,8409842,25032,290781,520,3906
G0100410,1930,Alabama,Crenshaw,23656,0,17939,7301,16355,1526495,5324380,54909,210645,1030,2565
G0100430,1930,Alabama,Cullman,41051,2786,34230,441,40610,137575,12990226,4575,365812,76,6984
G0100450,1930,Alabama,Dale,23175,3103,16148,5410,17765,919210,5408472,31546,241304,515,2391
G0100470,1930,Alabama,Dallas,55094,18012,33386,40867,14227,5048579,3946712,210683,133047,6405,691
G0100490,1930,Alabama,DeKalb,40104,3375,33635,851,39253,102430,13409434,2748,373658,58,6528
G0100510,1930,Alabama,Elmore,34280,0,24580,14182,20097,2635426,6962501,76502,185712,1837,2413
G0100530,1930,Alabama,Escambia,27963,5853,12784,8558,19056,721700,5216933,16939,123695,428,1735
G0100550,1930,Alabama,Etowah,63399,37171,20468,9944,53454,248432,9855474,6602,237000,152,3621
G0100570,1930,Alabama,Fayette,18443,0,14420,2630,15813,337670,3306602,22205,244722,327,2453
G0100590,1930,Alabama,Franklin,25372,3146,17463,1419,23953,190320,6121414,5495,230409,113,3316
G0100610,1930,Alabama,Geneva,30104,0,21906,3898,26206,687926,9737566,16889,245185,302,3346
G0100630,1930,Alabama,Greene,19745,0,15810,16263,3482,2557493,1713271,121010,67838,3168,385
G0100650,1930,Alabama,Hale,26265,0,21765,19412,6853,4363062,4354292,128902,120418,3873,960
G0100670,1930,Alabama,Henry,22820,0,17773,10789,12031,2394010,4873972,84132,178619,1331,1740
G0100690,1930,Alabama,Houston,45935,16046,25341,13529,32406,2177345,10904878,49275,227155,971,3749
G0100710,1930,Alabama,Jackson,36881,0,27787,2688,34192,530730,11466588,12265,369704,281,5056
G0100730,1930,Alabama,Jefferson,431493,307431,19537,167957,263475,1082505,14909320,8823,170065,327,3022
G0100750,1930,Alabama,Lamar,18001,0,15029,2851,15150,427502,3411304,32371,241152,410,2665
G0100770,1930,Alabama,Lauderdale,41130,11729,26350,7782,33348,2034431,9940788,39046,256543,959,4287
G0100790,1930,Alabama,Lawrence,26942,0,24345,7053,19889,2463289,8098786,52458,222421,1393,3726
G0100810,1930,Alabama,Lee,36063,15555,17562,18629,17434,2377692,3276958,138258,131747,1992,978
G0100830,1930,Alabama,Limestone,36629,4238,29760,9987,26642,2979006,10507998,65315,229706,1929,4420
G0100850,1930,Alabama,Lowndes,22878,0,20006,19632,3246,2923121,2855122,124653,150784,3527,466
G0100870,1930,Alabama,Macon,27103,3314,20191,22320,4783,3417057,2448115,145173,71855,3114,600
G0100890,1930,Alabama,Madison,64623,11554,36243,19272,45350,4345764,12790674,106212,281058,2772,4406
G0100910,1930,Alabama,Marengo,36426,4037,27607,26349,10076,3918964,4581421,158890,228205,5314,1189
G0100930,1930,Alabama,Marion,25967,0,19420,861,25106,65735,5029382,5439,301535,70,3676
G0100950,1930,Alabama,Marshall,39802,5542,30937,1272,38521,151670,14002764,3764,298893,102,6177
G0100970,1930,Alabama,Mobile,118363,72782,10269,42255,75956,333247,9089528,5414,112596,151,1406
G0100990,1930,Alabama,Monroe,30070,0,22258,15782,14250,1962090,5901814,93307,225095,2097,1797
G0101010,1930,Alabama,Montgomery,98671,66079,23347,52144,46522,4056209,7764565,120675,203396,3178,891
G0101030,1930,Alabama,Morgan,46176,15593,24553,8311,37865,1225220,10379040,23452,256319,659,4420
G0101050,1930,Alabama,Perry,26385,0,20625,19156,7229,2976587,3326621,128949,136665,3435,912
G0101070,1930,Alabama,Pickens,24902,0,19969,11932,12970,2096577,3981158,103188,215447,2119,2008
G0101090,1930,Alabama,Pike,32240,6814,21273,14539,17701,2164001,5363692,90462,209206,1506,2163
G0101110,1930,Alabama,Randolph,26861,4373,20404,5884,20977,819633,5424929,45800,239521,791,3278
G0101130,1930,Alabama,Russell,27377,7263,17683,19562,7815,2037429,2097531,135972,122297,2243,414
G0101150,1930,Alabama,St Clair,24510,0,14217,4832,19678,542080,4485541,23201,181672,348,2076
G0101170,1930,Alabama,Shelby,27576,0,14302,6973,20603,456065,4584456,16802,160378,392,1849
G0101190,1930,Alabama,Sumter,26929,0,21117,21247,5682,3180102,3529996,150050,143439,3812,592
G0101210,1930,Alabama,Talladega,45241,11711,23314,17152,28087,2346943,4636621,102239,162966,1912,2091
G0101230,1930,Alabama,Tallapoosa,31188,4519,17368,9773,21415,1432890,4169516,74812,204352,1161,2179
G0101250,1930,Alabama,Tuscaloosa,64153,20659,23947,21566,42585,1905340,7151696,69665,276070,1546,3206
G0101270,1930,Alabama,Walker,59445,7832,19960,7813,51632,63020,5118169,2557,207388,92,3544
G0101290,1930,Alabama,Washington,16365,0,10083,6813,9552,523834,2494541,32126,166064,676,1085
G0101310,1930,Alabama,Wilcox,24880,0,20395,19319,5561,1899916,3356613,102713,212019,3620,724
G0101330,1930,Alabama,Winston,15596,0,11500,83,15513,0,2679475,0,179365,0,2177
G0250015,1930,Alaska Territory,First Judicial Dist,19304,7839,NA,NA,12877,3105,1134814,121,58672,2,200
G0250035,1930,Alaska Territory,Fourth Judicial Dist,10127,0,NA,NA,5488,0,528162,0,320,0,1
G0250075,1930,Alaska Territory,Second Judicial Dist,16309,0,NA,NA,1427,NA,NA,23655,417481,6,181
G0250115,1930,Alaska Territory,Third Judicial Dist,13538,0,NA,NA,8848,25404,1165700,0,25693,0,110
G0400010,1930,Arizona,Apache,17765,0,12507,338,3786,229078,3095444,29606,997306,1022,422
G0400030,1930,Arizona,Cochise,40998,17851,4157,1910,25857,43150,8426124,773,1917383,7,920
G0400050,1930,Arizona,Coconino,14064,3891,4754,115,6650,23587,3385137,2269,1096930,429,360
G0400070,1930,Arizona,Gila,31016,14850,1641,161,18026,25485,1672800,1228,118914,18,288
G0400090,1930,Arizona,Graham,10373,0,4276,53,7613,13000,7999090,600,468007,5,744
G0400110,1930,Arizona,Greenlee,9886,0,1243,28,5042,0,1272197,0,55158,0,257
G0400130,1930,Arizona,Maricopa,150970,55494,36427,4879,108284,5521905,99379024,28303,550047,522,4075
G0400150,1930,Arizona,Mohave,5572,0,1352,0,4097,26056,1884364,620,520872,93,291
G0400170,1930,Arizona,Navajo,21202,3917,9986,98,8136,204901,2656927,8234,944462,937,350
G0400190,1930,Arizona,Pima,55676,32506,5951,1251,32726,458126,7282869,17197,932212,280,477
G0400210,1930,Arizona,Pinal,22081,0,6546,234,10164,2532240,11166672,22994,362566,530,478
G0400230,1930,Arizona,Santa Cruz,9684,6006,1222,718,3833,24250,1813177,2785,250852,9,211
G0400250,1930,Arizona,Yavapai,28470,10449,3096,181,19047,13060,10113012,249,2105584,11,664
G0400270,1930,Arizona,Yuma,17816,4892,5661,783,11117,430900,14538082,4230,87246,90,683
G0500010,1930,Arkansas,Arkansas,22300,4927,12922,4916,17381,611710,11544660,29289,286433,605,1696
G0500030,1930,Arkansas,Ashley,25151,2811,17011,11858,13265,3106415,3399742,60827,103380,2189,1652
G0500050,1930,Arkansas,Baxter,9519,0,6425,1,9518,0,3284114,0,177707,0,1447
G0500070,1930,Arkansas,Benton,35253,3554,21681,88,35005,9000,20807860,333,416735,3,5002
G0500090,1930,Arkansas,Boone,14937,3626,9060,0,14932,0,5754180,0,249713,0,1923
G0500110,1930,Arkansas,Bradley,17494,2523,9596,5752,11740,610324,2346093,28302,96407,606,1394
G0500130,1930,Arkansas,Calhoun,9752,0,7604,2993,6759,505370,1984066,27030,92587,444,1053
G0500150,1930,Arkansas,Carroll,15820,0,10585,25,15793,0,7127660,0,278120,0,2351
G0500170,1930,Arkansas,Chicot,22646,2942,15721,14143,8475,4449538,4196627,71870,76697,3036,1107
G0500190,1930,Arkansas,Clark,24932,3380,14353,7293,17639,992096,4411437,39865,194692,835,2279
